SEQ='NE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  28014381.4   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR=  28199803.5   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    88     1    2S2 2P5 6F1         (3)2( 7.0)   182370.7 
    89     1    2S2 2P5 6F1         (1)2( 2.0)   182370.7 
    90     1    2S2 2P5 6F1         (3)4(13.0)   182372.5 
    91     1    2S2 2P5 6F1         (1)4( 4.0)   182372.5 
    92     1    2S2 2P5 6F1         (1)3( 3.0)   182377.8 
    93     1    2S2 2P5 6F1         (3)3(10.0)   182377.8 
    94     1    2S2 2P5 6D1         (1)2( 2.0)   182380.0 
    95     1    2S2 2P5 6D1         (3)2( 7.0)   182380.0 
    96     1    2S2 2P5 7P1         (3)0( 1.0)   182508.1 
    97     1    2S2 2P5 7P1         (3)2( 7.0)   182554.0 
    98     1    2S2 2P5 7P1         (1)2( 2.0)   182584.2 
    99     1    2S2 2P5 7P1         (1)1( 1.0)   182584.7 
   100     1    2S2 2P5 7P1         (3)1( 4.0)   182584.7 
   101     1    2S2 2P5 8S1         (3)1( 4.0)   183001.5 
   102     1    2S2 2P5 8S1         (1)1( 1.0)   183026.4 
   103     1    2S2 2P5 7P1         (1)0( 0.0)   183083.9 
   104     1    2S2 2P5 7G1         (3)3(10.0)   183164.9 
   105     1    2S2 2P5 7G1         (1)3( 3.0)   183164.9 
   106     1    2S2 2P5 7G1         (3)4(13.0)   183164.9 
   107     1    2S2 2P5 7G1         (1)4( 4.0)   183164.9 
   108     1    2S2 2P5 7G1         (3)5(16.0)   183164.9 
   109     1    2S2 2P5 7G1         (1)5( 5.0)   183164.9 
   110     1    2S2 2P5 7D1         (3)1( 4.0)   183172.2 
   111     1    2S2 2P5 7H1         (3)4(13.0)   183173.5 
   112     1    2S2 2P5 7H1         (1)4( 4.0)   183173.5 
   113     1    2S2 2P5 7H1         (3)5(16.0)   183173.5 
   114     1    2S2 2P5 7H1         (1)5( 5.0)   183173.5 
   115     1    2S2 2P5 7H1         (3)6(19.0)   183173.5 
   116     1    2S2 2P5 7H1         (1)6( 6.0)   183173.5 
   117     1    2S2 2P5 7D1         (3)3(10.0)   183177.2 
   118     1    2S2 2P5 7D1         (1)1( 1.0)   183177.3 
   119     1    2S2 2P5 7I1         (3)5(16.0)   183177.3 
   120     1    2S2 2P5 7I1         (1)5( 5.0)   183177.3 
   121     1    2S2 2P5 7I1         (3)6(19.0)   183177.3 
   122     1    2S2 2P5 7I1         (1)6( 6.0)   183177.3 
   123     1    2S2 2P5 7I1         (3)7(22.0)   183177.3 
   124     1    2S2 2P5 7I1         (1)7( 7.0)   183177.3 
   125     1    2S2 2P5 7D1         (1)3( 3.0)   183178.0 
   126     1    2S2 2P5 7F1         (3)2( 7.0)   183180.6 
   127     1    2S2 2P5 7F1         (1)2( 2.0)   183180.6 
   128     1    2S2 2P5 7F1         (3)4(13.0)   183181.7 
   129     1    2S2 2P5 7F1         (1)4( 4.0)   183181.7 
   130     1    2S2 2P5 7F1         (1)3( 3.0)   183185.0 
   131     1    2S2 2P5 7F1         (3)3(10.0)   183185.0 
   132     1    2S2 2P5 7D1         (1)2( 2.0)   183186.3 
   133     1    2S2 2P5 7D1         (3)2( 7.0)   183186.3 
   134     1    2S2 2P5 8P1         (3)0( 1.0)   183268.1 
   135     1    2S2 2P5 8P1         (3)2( 7.0)   183297.4 
   136     1    2S2 2P5 8P1         (1)2( 2.0)   183316.6 
   137     1    2S2 2P5 8P1         (1)1( 1.0)   183316.9 
   138     1    2S2 2P5 8P1         (3)1( 4.0)   183316.9 
   139     1    2S2 2P5 8P1         (1)0( 0.0)   183635.4 
   140     1    2S2 2P5 8G1         (3)3(10.0)   183695.7 
   141     1    2S2 2P5 8G1         (1)3( 3.0)   183695.7 
   142     1    2S2 2P5 8G1         (3)4(13.0)   183695.7 
   143     1    2S2 2P5 8G1         (1)4( 4.0)   183695.7 
   144     1    2S2 2P5 8G1         (3)5(16.0)   183695.7 
   145     1    2S2 2P5 8G1         (1)5( 5.0)   183695.7 
   146     1    2S2 2P5 8D1         (3)1( 4.0)   183700.4 
   147     1    2S2 2P5 8H1         (3)4(13.0)   183701.4 
   148     1    2S2 2P5 8H1         (1)4( 4.0)   183701.4 
   149     1    2S2 2P5 8H1         (3)5(16.0)   183701.4 
   150     1    2S2 2P5 8H1         (1)5( 5.0)   183701.4 
   151     1    2S2 2P5 8H1         (3)6(19.0)   183701.4 
   152     1    2S2 2P5 8H1         (1)6( 6.0)   183701.4 
   153     1    2S2 2P5 8D1         (3)3(10.0)   183703.8 
   154     1    2S2 2P5 8I1         (3)5(16.0)   183703.9 
   155     1    2S2 2P5 8I1         (1)5( 5.0)   183703.9 
   156     1    2S2 2P5 8I1         (3)6(19.0)   183703.9 
   157     1    2S2 2P5 8I1         (1)6( 6.0)   183703.9 
   158     1    2S2 2P5 8I1         (3)7(22.0)   183703.9 
   159     1    2S2 2P5 8I1         (1)7( 7.0)   183703.9 
   160     1    2S2 2P5 8D1         (1)1( 1.0)   183704.0 
   161     1    2S2 2P5 8D1         (1)3( 3.0)   183704.4 
   162     1    2S2 2P5 8J1         (3)6(19.0)   183705.2 
   163     1    2S2 2P5 8J1         (1)6( 6.0)   183705.2 
   164     1    2S2 2P5 8J1         (3)7(22.0)   183705.2 
   165     1    2S2 2P5 8J1         (1)7( 7.0)   183705.2 
   166     1    2S2 2P5 8J1         (3)8(25.0)   183705.2 
   167     1    2S2 2P5 8J1         (1)8( 8.0)   183705.2 
   168     1    2S2 2P5 8F1         (3)2( 7.0)   183706.1 
   169     1    2S2 2P5 8F1         (1)2( 2.0)   183706.1 
   170     1    2S2 2P5 8F1         (3)4(13.0)   183706.9 
   171     1    2S2 2P5 8F1         (1)4( 4.0)   183706.9 
   172     1    2S2 2P5 8F1         (1)3( 3.0)   183709.1 
   173     1    2S2 2P5 8F1         (3)3(10.0)   183709.1 
   174     1    2S2 2P5 8D1         (1)2( 2.0)   183709.9 
   175     1    2S2 2P5 8D1         (3)2( 7.0)   183709.9 

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (2P)  SPNPRT= 2

   INDX TE=  1.00E+01  2.00E+01  5.00E+01  1.00E+02  2.00E+02  5.00E+02  1.00E+03  2.00E+03  5.00E+03  1.00E+04
