SEQ='BE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  22527951.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   132190.0 

   LS RESOLVED TERM INDEXING            BWNR=  24195433.6   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    96     2    2P1 5P1             (3)1( 4.0)  1578379.4 
    97     1    2S1 8S1             (3)0( 1.0)  1579245.2 
    98     1    2S1 8S1             (1)0( 0.0)  1580088.4 
    99     2    2P1 5D1             (1)2( 2.0)  1580242.9 
   100     2    2P1 5D1             (3)3(10.0)  1580412.6 
   101     2    2P1 5P1             (1)2( 2.0)  1580806.5 
   102     1    2S1 8P1             (3)1( 4.0)  1581484.8 
   103     1    2S1 8P1             (1)1( 1.0)  1581776.7 
   104     2    2P1 5D1             (3)2( 7.0)  1582631.4 
   105     1    2S1 8D1             (3)2( 7.0)  1582674.8 
   106     2    2P1 5D1             (3)1( 4.0)  1583160.7 
   107     2    2P1 5F1             (1)3( 3.0)  1583192.8 
   108     1    2S1 8D1             (1)2( 2.0)  1583315.6 
   109     1    2S1 8F1             (3)3(10.0)  1583325.6 
   110     2    2P1 5F1             (3)3(10.0)  1583388.7 
   111     1    2S1 8G1             (3)4(13.0)  1583404.4 
   112     1    2S1 8G1             (1)4( 4.0)  1583404.4 
   113     1    2S1 8H1             (3)5(16.0)  1583433.5 
   114     1    2S1 8H1             (1)5( 5.0)  1583433.5 
   115     1    2S1 8I1             (3)6(19.0)  1583446.5 
   116     1    2S1 8I1             (1)6( 6.0)  1583446.5 
   117     1    2S1 8J1             (3)7(22.0)  1583453.2 
   118     1    2S1 8J1             (1)7( 7.0)  1583453.2 
   119     1    2S1 8F1             (1)3( 3.0)  1583489.7 
   120     2    2P1 5G1             (3)3(10.0)  1584340.3 
   121     2    2P1 5G1             (1)3( 3.0)  1584340.3 
   122     2    2P1 5G1             (3)4(13.0)  1584340.3 
