SEQ='O '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27239297.0   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    44495.0 
     3          2S2 2P3             (2)1( 2.5)    62597.4 

   LS RESOLVED TERM INDEXING            BWNR=  27737598.3   NTRM= 503
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    87     1    2S2 2P3 7P1         (3)1( 4.0)   475696.6 
    88     1    2S2 2P3 7D1         (5)2(12.0)   477586.9 
    89     1    2S2 2P3 7D1         (3)2( 7.0)   477973.3 
    90     1    2S2 2P3 7G1         (5)4(22.0)   478070.6 
    91     1    2S2 2P3 7G1         (3)4(13.0)   478070.6 
    92     1    2S2 2P3 7H1         (5)5(27.0)   478106.9 
    93     1    2S2 2P3 7H1         (3)5(16.0)   478106.9 
    94     1    2S2 2P3 7I1         (5)6(32.0)   478123.1 
    95     1    2S2 2P3 7I1         (3)6(19.0)   478123.1 
    96     1    2S2 2P3 7F1         (5)3(17.0)   478126.3 
    97     1    2S2 2P3 7F1         (3)3(10.0)   478140.1 
    98     2    2S2 2P3 4D1         (1)0( 0.0)   478416.4 
    99     2    2S2 2P3 4D1         (3)3(10.0)   478465.9 
   100     2    2S2 2P3 4D1         (3)4(13.0)   478689.0 
   101     2    2S2 2P3 4D1         (1)4( 4.0)   478870.8 
   102     2    2S2 2P3 4D1         (3)2( 7.0)   479061.5 
   103     2    2S2 2P3 4D1         (1)1( 1.0)   479233.1 
   104     3    2S2 2P3 4P1         (3)0( 1.0)   479380.7 
   105     1    2S2 2P3 8S1         (5)0( 2.0)   479502.2 
   106     2    2S2 2P3 4D1         (3)1( 4.0)   479691.2 
   107     1    2S2 2P3 8S1         (3)0( 1.0)   479790.4 
   108     3    2S2 2P3 4P1         (3)2( 7.0)   479930.5 
   109     2    2S2 2P3 4D1         (3)0( 1.0)   480152.0 
