SEQ='B '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  24195433.6   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   114537.9 
     3          2S1 2P1             (1)1( 1.0)   226224.4*
     4          2P2                 (3)1( 4.0)   294287.6*
     5          2P2                 (1)2( 2.0)   329531.4*
     6          2P2                 (1)0( 0.0)   406862.2*

   LS RESOLVED TERM INDEXING            BWNR=  25455599.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    88     3    2S1 2P1 4S1         (2)1( 2.5)  1199181.9 
    89     2    2S1 2P1 5S1         (2)1( 2.5)  1199231.4 
    90     2    2S1 2P1 5P1         (4)2( 9.5)  1203949.9 
    91     2    2S1 2P1 5P1         (2)1( 2.5)  1204902.9 
    92     2    2S1 2P1 5P1         (4)0( 1.5)  1205163.4 
    93     2    2S1 2P1 5P1         (4)1( 5.5)  1206895.5 
    94     2    2S1 2P1 5P1         (2)2( 4.5)  1208534.0 
    95     2    2S1 2P1 5P1         (2)0( 0.5)  1211112.1 
    96     2    2S1 2P1 5D1         (4)3(13.5)  1211114.5 
    97     2    2S1 2P1 5D1         (4)2( 9.5)  1212917.1 
    98     2    2S1 2P1 5D1         (2)2( 4.5)  1213190.7 
    99     2    2S1 2P1 5D1         (4)1( 5.5)  1213363.2 
   100     2    2S1 2P1 5F1         (4)3(13.5)  1215568.6 
   101     2    2S1 2P1 5F1         (2)3( 6.5)  1215721.2 
   102     2    2S1 2P1 5F1         (4)4(17.5)  1216361.2 
   103     2    2S1 2P1 5G1         (4)3(13.5)  1216395.4 
   104     2    2S1 2P1 5G1         (2)3( 6.5)  1216395.4 
   105     2    2S1 2P1 5G1         (4)4(17.5)  1216395.4 
   106     2    2S1 2P1 5G1         (2)4( 8.5)  1216395.4 
   107     2    2S1 2P1 5G1         (4)5(21.5)  1216395.4 
   108     2    2S1 2P1 5G1         (2)5(10.5)  1216395.4 
   109     2    2S1 2P1 5D1         (2)3( 6.5)  1216884.2 
   110     2    2S1 2P1 5F1         (4)2( 9.5)  1216889.7 
   111     3    2S1 2P1 4P1         (2)2( 4.5)  1216934.1 
   112     2    2S1 2P1 5F1         (2)4( 8.5)  1217031.7 
   113     2    2S1 2P1 5D1         (2)1( 2.5)  1217317.7 
   114     2    2S1 2P1 5F1         (2)2( 4.5)  1217364.9 
   115     3    2S1 2P1 4P1         (2)1( 2.5)  1218836.3 
   116     3    2S1 2P1 4P1         (2)0( 0.5)  1220611.1 
   117     3    2S1 2P1 4D1         (2)2( 4.5)  1232478.5 
   118     3    2S1 2P1 4D1         (2)3( 6.5)  1232515.1 
   119     3    2S1 2P1 4D1         (2)1( 2.5)  1235864.3 
   120     3    2S1 2P1 4F1         (2)3( 6.5)  1237489.1 
   121     2    2S1 2P1 6S1         (4)1( 5.5)  1252993.0 
   122     2    2S1 2P1 6S1         (2)1( 2.5)  1255010.4 
   123     2    2S1 2P1 6P1         (4)2( 9.5)  1257777.5 
   124     2    2S1 2P1 6P1         (2)1( 2.5)  1258299.0 
   125     2    2S1 2P1 6P1         (4)0( 1.5)  1258449.7 
   126     2    2S1 2P1 6P1         (4)1( 5.5)  1259354.7 
   127     2    2S1 2P1 6P1         (2)2( 4.5)  1260279.4*
   128     2    2S1 2P1 6P1         (2)0( 0.5)  1261715.1*
   129     2    2S1 2P1 6D1         (4)3(13.5)  1261771.9*
   130     2    2S1 2P1 6D1         (4)2( 9.5)  1262790.0*
   131     2    2S1 2P1 6D1         (2)2( 4.5)  1262950.0*
   132     2    2S1 2P1 6D1         (4)1( 5.5)  1263026.9*
   133     2    2S1 2P1 6F1         (4)3(13.5)  1264305.7*
   134     2    2S1 2P1 6F1         (2)3( 6.5)  1264405.5*
   135     2    2S1 2P1 6F1         (4)4(17.5)  1264729.3*
   136     2    2S1 2P1 6G1         (4)3(13.5)  1264800.6*
   137     2    2S1 2P1 6G1         (2)3( 6.5)  1264800.6*
   138     2    2S1 2P1 6G1         (4)4(17.5)  1264800.6*
   139     2    2S1 2P1 6G1         (2)4( 8.5)  1264800.6*
   140     2    2S1 2P1 6G1         (4)5(21.5)  1264800.6*
   141     2    2S1 2P1 6G1         (2)5(10.5)  1264800.6*
   142     2    2S1 2P1 6H1         (4)4(17.5)  1264880.8*
   143     2    2S1 2P1 6H1         (2)4( 8.5)  1264880.8*
   144     2    2S1 2P1 6H1         (4)5(21.5)  1264880.8*
   145     2    2S1 2P1 6H1         (2)5(10.5)  1264880.8*
   146     2    2S1 2P1 6H1         (4)6(25.5)  1264880.8*
   147     2    2S1 2P1 6H1         (2)6(12.5)  1264880.8*
   148     2    2S1 2P1 6D1         (2)3( 6.5)  1265012.5*
   149     2    2S1 2P1 6F1         (4)2( 9.5)  1265040.4*
   150     2    2S1 2P1 6F1         (2)4( 8.5)  1265165.7*
   151     2    2S1 2P1 6D1         (2)1( 2.5)  1265250.0*
   152     2    2S1 2P1 6F1         (2)2( 4.5)  1265350.3*
   153     2    2S1 2P1 7S1         (4)1( 5.5)  1286656.5*
   154     2    2S1 2P1 7S1         (2)1( 2.5)  1287873.1*
   155     2    2S1 2P1 7P1         (4)2( 9.5)  1289621.2*
   156     2    2S1 2P1 7P1         (2)1( 2.5)  1289938.6*
   157     2    2S1 2P1 7P1         (4)0( 1.5)  1290032.4*
   158     2    2S1 2P1 7P1         (4)1( 5.5)  1290569.6*
   159     2    2S1 2P1 7P1         (2)2( 4.5)  1291141.3*
   160     2    2S1 2P1 7P1         (2)0( 0.5)  1292022.6*
   161     2    2S1 2P1 7D1         (4)3(13.5)  1292080.3*
   162     2    2S1 2P1 7D1         (4)2( 9.5)  1292711.4*
   163     2    2S1 2P1 7D1         (2)2( 4.5)  1292812.1*
   164     2    2S1 2P1 7D1         (4)1( 5.5)  1292853.1*
   165     2    2S1 2P1 7F1         (4)3(13.5)  1293658.3*
   166     2    2S1 2P1 7F1         (2)3( 6.5)  1293725.3*
   167     2    2S1 2P1 7F1         (4)4(17.5)  1293912.4*
   168     2    2S1 2P1 7G1         (4)3(13.5)  1293975.9*
   169     2    2S1 2P1 7G1         (2)3( 6.5)  1293975.9*
   170     2    2S1 2P1 7G1         (4)4(17.5)  1293975.9*
   171     2    2S1 2P1 7G1         (2)4( 8.5)  1293975.9*
   172     2    2S1 2P1 7G1         (4)5(21.5)  1293975.9*
   173     2    2S1 2P1 7G1         (2)5(10.5)  1293975.9*
   174     2    2S1 2P1 7H1         (4)4(17.5)  1294026.4*
   175     2    2S1 2P1 7H1         (2)4( 8.5)  1294026.4*
   176     2    2S1 2P1 7H1         (4)5(21.5)  1294026.4*
   177     2    2S1 2P1 7H1         (2)5(10.5)  1294026.4*
   178     2    2S1 2P1 7H1         (4)6(25.5)  1294026.4*
   179     2    2S1 2P1 7H1         (2)6(12.5)  1294026.4*
   180     2    2S1 2P1 7I1         (4)5(21.5)  1294049.0*
   181     2    2S1 2P1 7I1         (2)5(10.5)  1294049.0*
   182     2    2S1 2P1 7I1         (4)6(25.5)  1294049.0*
   183     2    2S1 2P1 7I1         (2)6(12.5)  1294049.0*
   184     2    2S1 2P1 7I1         (4)7(29.5)  1294049.0*
   185     2    2S1 2P1 7I1         (2)7(14.5)  1294049.0*
   186     2    2S1 2P1 7D1         (2)3( 6.5)  1294082.8*
   187     2    2S1 2P1 7F1         (4)2( 9.5)  1294110.1*
   188     2    2S1 2P1 7F1         (2)4( 8.5)  1294204.1*
   189     2    2S1 2P1 7D1         (2)1( 2.5)  1294227.8*
   190     2    2S1 2P1 7F1         (2)2( 4.5)  1294317.4*
   191     2    2S1 2P1 8S1         (4)1( 5.5)  1308057.3*
   192     3    2S1 2P1 5S1         (2)1( 2.5)  1308436.8*
   193     2    2S1 2P1 8S1         (2)1( 2.5)  1308848.8*
   194     2    2S1 2P1 8P1         (4)2( 9.5)  1310019.4*
   195     2    2S1 2P1 8P1         (2)1( 2.5)  1310227.2*
   196     2    2S1 2P1 8P1         (4)0( 1.5)  1310289.3*
   197     2    2S1 2P1 8P1         (4)1( 5.5)  1310635.9*
   198     2    2S1 2P1 8P1         (2)2( 4.5)  1311013.7*
   199     2    2S1 2P1 8P1         (2)0( 0.5)  1311593.6*
   200     2    2S1 2P1 8D1         (4)3(13.5)  1311641.9*
   201     2    2S1 2P1 8D1         (4)2( 9.5)  1312060.3*
   202     2    2S1 2P1 8D1         (2)2( 4.5)  1312127.5*
   203     2    2S1 2P1 8D1         (4)1( 5.5)  1312152.1*
   204     2    2S1 2P1 8F1         (4)3(13.5)  1312691.2*
   205     2    2S1 2P1 8F1         (2)3( 6.5)  1312737.7*
   206     2    2S1 2P1 8F1         (4)4(17.5)  1312856.1*
   207     2    2S1 2P1 8G1         (4)3(13.5)  1312906.5*
   208     2    2S1 2P1 8G1         (2)3( 6.5)  1312906.5*
   209     2    2S1 2P1 8G1         (4)4(17.5)  1312906.5*
   210     2    2S1 2P1 8G1         (2)4( 8.5)  1312906.5*
   211     2    2S1 2P1 8G1         (4)5(21.5)  1312906.5*
   212     2    2S1 2P1 8G1         (2)5(10.5)  1312906.5*
   213     2    2S1 2P1 8H1         (4)4(17.5)  1312940.3*
   214     2    2S1 2P1 8H1         (2)4( 8.5)  1312940.3*
   215     2    2S1 2P1 8H1         (4)5(21.5)  1312940.3*
   216     2    2S1 2P1 8H1         (2)5(10.5)  1312940.3*
   217     2    2S1 2P1 8H1         (4)6(25.5)  1312940.3*
   218     2    2S1 2P1 8H1         (2)6(12.5)  1312940.3*
   219     2    2S1 2P1 8I1         (4)5(21.5)  1312955.4*
   220     2    2S1 2P1 8I1         (2)5(10.5)  1312955.4*
   221     2    2S1 2P1 8I1         (4)6(25.5)  1312955.4*
   222     2    2S1 2P1 8I1         (2)6(12.5)  1312955.4*
   223     2    2S1 2P1 8I1         (4)7(29.5)  1312955.4*
