SEQ='N '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  26463393.1   NPRNTI= 4   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    83     2    2S2 2P2 4F1         (2)1( 2.5)   698365.6 
    84     1    2S2 2P2 5D1         (4)3(13.5)   702383.8 
    85     1    2S2 2P2 5D1         (4)2( 9.5)   702997.6 
    86     1    2S2 2P2 5D1         (2)1( 2.5)   703035.9 
    87     1    2S2 2P2 5D1         (4)1( 5.5)   703569.2 
    88     4    2S1 2P3 4S1         (6)0( 2.5)   703735.4 
    89     3    2S2 2P2 4P1         (2)1( 2.5)   703810.2 
    90     1    2S2 2P2 5D1         (2)3( 6.5)   704357.3 
    91     1    2S2 2P2 5F1         (4)2( 9.5)   705334.0 
    92     1    2S2 2P2 5F1         (2)2( 4.5)   705342.0 
    93     1    2S2 2P2 5G1         (4)3(13.5)   705408.4 
    94     1    2S2 2P2 5G1         (2)3( 6.5)   705408.4 
    95     1    2S2 2P2 5G1         (4)4(17.5)   705408.4 
    96     1    2S2 2P2 5G1         (2)4( 8.5)   705408.4 
    97     1    2S2 2P2 5G1         (4)5(21.5)   705408.4 
    98     1    2S2 2P2 5G1         (2)5(10.5)   705408.4 
    99     1    2S2 2P2 5F1         (4)4(17.5)   705426.2 
   100     1    2S2 2P2 5F1         (2)4( 8.5)   705521.6 
   101     1    2S2 2P2 5D1         (2)2( 4.5)   705552.9 
   102     1    2S2 2P2 5F1         (4)3(13.5)   705836.0 
   103     1    2S2 2P2 5F1         (2)3( 6.5)   705965.1 
   104     4    2S1 2P3 4S1         (4)0( 1.5)   711560.9 
   105     5    2S1 2P3 3P1         (4)1( 5.5)   712491.2 
   106     1    2S2 2P2 6S1         (4)1( 5.5)   716307.3 
   107     1    2S2 2P2 6S1         (2)1( 2.5)   717105.7 
   108     2    2S2 2P2 5S1         (2)2( 4.5)   718048.9 
   109     4    2S1 2P3 4P1         (6)1( 8.5)   719601.0 
   110     1    2S2 2P2 6P1         (2)0( 0.5)   719892.1 
   111     1    2S2 2P2 6P1         (4)2( 9.5)   720258.1 
   112     1    2S2 2P2 6P1         (4)1( 5.5)   720502.0 
   113     3    2S2 2P2 4D1         (2)2( 4.5)   721807.7 
   114     1    2S2 2P2 6P1         (2)2( 4.5)   721842.0 
   115     1    2S2 2P2 6P1         (4)0( 1.5)   722174.7 
   116     1    2S2 2P2 6P1         (2)1( 2.5)   722448.3 
   117     1    2S2 2P2 6D1         (4)3(13.5)   725202.2 
   118     2    2S2 2P2 5P1         (2)3( 6.5)   725344.7 
   119     1    2S2 2P2 6D1         (4)2( 9.5)   725543.8 
   120     1    2S2 2P2 6D1         (2)1( 2.5)   725593.3 
   121     3    2S2 2P2 4F1         (2)3( 6.5)   725843.3 
   122     1    2S2 2P2 6D1         (4)1( 5.5)   725895.2 
   123     1    2S2 2P2 6D1         (2)3( 6.5)   726361.6 
   124     2    2S2 2P2 5P1         (2)2( 4.5)   726692.8 
   125     1    2S2 2P2 6F1         (4)2( 9.5)   726928.1 
   126     1    2S2 2P2 6F1         (2)2( 4.5)   726933.6 
   127     1    2S2 2P2 6F1         (4)4(17.5)   726975.3 
   128     1    2S2 2P2 6G1         (4)3(13.5)   726979.3 
   129     1    2S2 2P2 6G1         (2)3( 6.5)   726979.3 
   130     1    2S2 2P2 6G1         (4)4(17.5)   726979.3 
   131     1    2S2 2P2 6G1         (2)4( 8.5)   726979.3 
   132     1    2S2 2P2 6G1         (4)5(21.5)   726979.3 
   133     1    2S2 2P2 6G1         (2)5(10.5)   726979.3 
   134     1    2S2 2P2 6D1         (2)2( 4.5)   727028.4 
   135     1    2S2 2P2 6F1         (2)4( 8.5)   727039.8 
   136     1    2S2 2P2 6H1         (4)4(17.5)   727053.2 
   137     1    2S2 2P2 6H1         (2)4( 8.5)   727053.2 
   138     1    2S2 2P2 6H1         (4)5(21.5)   727053.2 
   139     1    2S2 2P2 6H1         (2)5(10.5)   727053.2 
   140     1    2S2 2P2 6H1         (4)6(25.5)   727053.2 
   141     1    2S2 2P2 6H1         (2)6(12.5)   727053.2 
   142     4    2S1 2P3 4P1         (4)1( 5.5)   727065.8 
   143     1    2S2 2P2 6F1         (4)3(13.5)   727209.0 
   144     2    2S2 2P2 5P1         (2)1( 2.5)   727286.4 
   145     1    2S2 2P2 6F1         (2)3( 6.5)   727296.2 
   146     1    2S2 2P2 7S1         (4)1( 5.5)   733428.3 
   147     1    2S2 2P2 7S1         (2)1( 2.5)   733904.9 
   148     2    2S2 2P2 5D1         (2)3( 6.5)   734380.5 
   149     2    2S2 2P2 5D1         (2)4( 8.5)   734439.9 
   150     2    2S2 2P2 5D1         (2)2( 4.5)   734902.8 
   151     1    2S2 2P2 7P1         (2)0( 0.5)   735611.6 
   152     2    2S2 2P2 5D1         (2)1( 2.5)   735656.5 
   153     1    2S2 2P2 7P1         (4)2( 9.5)   735832.7 
   154     1    2S2 2P2 7P1         (4)1( 5.5)   735980.1 
   155     2    2S2 2P2 5D1         (2)0( 0.5)   736093.6 
   156     2    2S2 2P2 5F1         (2)4( 8.5)   736574.6 
   157     2    2S2 2P2 5F1         (2)3( 6.5)   736661.2 
   158     2    2S2 2P2 5G1         (2)2( 4.5)   736723.0 
   159     2    2S2 2P2 5G1         (2)3( 6.5)   736723.0 
   160     2    2S2 2P2 5G1         (2)4( 8.5)   736723.0 
   161     2    2S2 2P2 5G1         (2)5(10.5)   736723.0 
   162     2    2S2 2P2 5G1         (2)6(12.5)   736723.0 
   163     1    2S2 2P2 7P1         (2)2( 4.5)   736800.4 
   164     1    2S2 2P2 7P1         (4)0( 1.5)   736981.7 
   165     2    2S2 2P2 5F1         (2)2( 4.5)   737025.3 
   166     2    2S2 2P2 5F1         (2)5(10.5)   737069.8 
   167     1    2S2 2P2 7P1         (2)1( 2.5)   737169.0 
   168     2    2S2 2P2 5F1         (2)1( 2.5)   737399.2 
   169     6    2S1 2P3 3P1         (4)1( 5.5)   738521.1 
   170     4    2S1 2P3 4D1         (6)2(14.5)   738593.8 
   171     1    2S2 2P2 7D1         (4)3(13.5)   738848.0 
   172     1    2S2 2P2 7D1         (4)2( 9.5)   739058.0 
   173     1    2S2 2P2 7D1         (2)1( 2.5)   739098.5 
   174     1    2S2 2P2 7D1         (4)1( 5.5)   739286.0 
   175     1    2S2 2P2 7D1         (2)3( 6.5)   739582.2 
   176     1    2S2 2P2 7F1         (4)2( 9.5)   739940.0 
   177     1    2S2 2P2 7F1         (2)2( 4.5)   739943.8 
   178     1    2S2 2P2 7F1         (4)4(17.5)   739967.4 
   179     1    2S2 2P2 7G1         (4)3(13.5)   739975.3 
   180     1    2S2 2P2 7G1         (2)3( 6.5)   739975.3 
   181     1    2S2 2P2 7G1         (4)4(17.5)   739975.3 
   182     1    2S2 2P2 7G1         (2)4( 8.5)   739975.3 
   183     1    2S2 2P2 7G1         (4)5(21.5)   739975.3 
   184     1    2S2 2P2 7G1         (2)5(10.5)   739975.3 
   185     1    2S2 2P2 7D1         (2)2( 4.5)   739993.0 
   186     1    2S2 2P2 7F1         (2)4( 8.5)   740011.5 
   187     1    2S2 2P2 7H1         (4)4(17.5)   740021.8 
   188     1    2S2 2P2 7H1         (2)4( 8.5)   740021.8 
   189     1    2S2 2P2 7H1         (4)5(21.5)   740021.8 
   190     1    2S2 2P2 7H1         (2)5(10.5)   740021.8 
   191     1    2S2 2P2 7H1         (4)6(25.5)   740021.8 
   192     1    2S2 2P2 7H1         (2)6(12.5)   740021.8 
   193     1    2S2 2P2 7I1         (4)5(21.5)   740042.6 
   194     1    2S2 2P2 7I1         (2)5(10.5)   740042.6 
   195     1    2S2 2P2 7I1         (4)6(25.5)   740042.6 
   196     1    2S2 2P2 7I1         (2)6(12.5)   740042.6 
   197     1    2S2 2P2 7I1         (4)7(29.5)   740042.6 
   198     1    2S2 2P2 7I1         (2)7(14.5)   740042.6 
   199     1    2S2 2P2 7F1         (4)3(13.5)   740113.2 
   200     1    2S2 2P2 7F1         (2)3( 6.5)   740172.8 
   201     4    2S1 2P3 4D1         (4)2( 9.5)   743906.9 
   202     1    2S2 2P2 8S1         (4)1( 5.5)   744101.1 
   203     1    2S2 2P2 8S1         (2)1( 2.5)   744408.6 
   204     4    2S1 2P3 4F1         (6)3(20.5)   744713.5 
   205     4    2S1 2P3 4F1         (4)3(13.5)   744902.5 
   206     1    2S2 2P2 8P1         (2)0( 0.5)   745527.5 
   207     1    2S2 2P2 8P1         (4)2( 9.5)   745671.4 
   208     1    2S2 2P2 8P1         (4)1( 5.5)   745767.3 
   209     1    2S2 2P2 8P1         (2)2( 4.5)   746304.9 
   210     1    2S2 2P2 8P1         (4)0( 1.5)   746415.9 
   211     1    2S2 2P2 8P1         (2)1( 2.5)   746545.7 
   212     3    2S2 2P2 5S1         (2)0( 0.5)   746559.9 
   213     1    2S2 2P2 8D1         (4)3(13.5)   747647.1 
   214     1    2S2 2P2 8D1         (4)2( 9.5)   747785.5 
   215     1    2S2 2P2 8D1         (2)1( 2.5)   747816.4 
   216     2    2S2 2P2 6S1         (2)2( 4.5)   747888.0 
   217     1    2S2 2P2 8D1         (4)1( 5.5)   747940.8 
   218     1    2S2 2P2 8D1         (2)3( 6.5)   748139.9 
   219     1    2S2 2P2 8F1         (4)2( 9.5)   748380.3 
   220     1    2S2 2P2 8F1         (2)2( 4.5)   748382.9 
   221     1    2S2 2P2 8F1         (4)4(17.5)   748397.6 
   222     1    2S2 2P2 8G1         (4)3(13.5)   748405.3 
   223     1    2S2 2P2 8G1         (2)3( 6.5)   748405.3 
   224     1    2S2 2P2 8G1         (4)4(17.5)   748405.3 
   225     1    2S2 2P2 8G1         (2)4( 8.5)   748405.3 
   226     1    2S2 2P2 8G1         (4)5(21.5)   748405.3 
