SEQ='F '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27733664.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    28403.2 
     3          2S2 2P4             (1)0( 0.0)    55370.5 

   LS RESOLVED TERM INDEXING            BWNR=  28053719.0   NTRM= 338
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    87     1    2S2 2P4 6G1         (4)3(13.5)   307787.1 
    88     1    2S2 2P4 6G1         (2)3( 6.5)   307787.1 
    89     1    2S2 2P4 6G1         (4)4(17.5)   307787.1 
    90     1    2S2 2P4 6G1         (2)4( 8.5)   307787.1 
    91     1    2S2 2P4 6G1         (4)5(21.5)   307787.1 
    92     1    2S2 2P4 6G1         (2)5(10.5)   307787.1 
    93     1    2S2 2P4 6D1         (2)2( 4.5)   307792.2 
    94     1    2S2 2P4 6H1         (4)4(17.5)   307823.1 
    95     1    2S2 2P4 6H1         (2)4( 8.5)   307823.1 
    96     1    2S2 2P4 6H1         (4)5(21.5)   307823.1 
    97     1    2S2 2P4 6H1         (2)5(10.5)   307823.1 
    98     1    2S2 2P4 6H1         (4)6(25.5)   307823.1 
    99     1    2S2 2P4 6H1         (2)6(12.5)   307823.1 
   100     1    2S2 2P4 6F1         (4)3(13.5)   307828.6 
   101     1    2S2 2P4 6F1         (2)3( 6.5)   307831.3 
   102     1    2S2 2P4 6D1         (2)1( 2.5)   307862.6 
   103     1    2S2 2P4 6F1         (4)4(17.5)   307868.5 
   104     1    2S2 2P4 6F1         (2)4( 8.5)   307869.2 
   105     1    2S2 2P4 6F1         (4)2( 9.5)   307882.5 
   106     1    2S2 2P4 6F1         (2)2( 4.5)   307884.0 
   107     1    2S2 2P4 7S1         (4)1( 5.5)   307993.2 
   108     1    2S2 2P4 7S1         (2)1( 2.5)   308186.7 
   109     1    2S2 2P4 7P1         (4)1( 5.5)   309115.4 
   110     1    2S2 2P4 7P1         (4)2( 9.5)   309220.7 
   111     2    2S2 2P4 4P1         (2)3( 6.5)   309322.4 
   112     1    2S2 2P4 7P1         (2)2( 4.5)   309339.6 
   113     1    2S2 2P4 7P1         (2)0( 0.5)   309378.5 
   114     1    2S2 2P4 7P1         (4)0( 1.5)   309378.5 
   115     1    2S2 2P4 7P1         (2)1( 2.5)   310019.5 
   116     2    2S2 2P4 4P1         (2)2( 4.5)   310172.6 
   117     1    2S2 2P4 7D1         (4)2( 9.5)   310928.0 
   118     1    2S2 2P4 7D1         (4)3(13.5)   310997.2 
   119     1    2S2 2P4 7D1         (2)3( 6.5)   311021.9 
   120     1    2S2 2P4 7D1         (4)1( 5.5)   311035.7 
   121     1    2S2 2P4 7G1         (4)3(13.5)   311049.5 
   122     1    2S2 2P4 7G1         (2)3( 6.5)   311049.5 
   123     1    2S2 2P4 7G1         (4)4(17.5)   311049.5 
   124     1    2S2 2P4 7G1         (2)4( 8.5)   311049.5 
   125     1    2S2 2P4 7G1         (4)5(21.5)   311049.5 
   126     1    2S2 2P4 7G1         (2)5(10.5)   311049.5 
   127     1    2S2 2P4 7D1         (2)2( 4.5)   311052.8 
   128     1    2S2 2P4 7H1         (4)4(17.5)   311072.1 
   129     1    2S2 2P4 7H1         (2)4( 8.5)   311072.1 
   130     1    2S2 2P4 7H1         (4)5(21.5)   311072.1 
   131     1    2S2 2P4 7H1         (2)5(10.5)   311072.1 
   132     1    2S2 2P4 7H1         (4)6(25.5)   311072.1 
   133     1    2S2 2P4 7H1         (2)6(12.5)   311072.1 
   134     1    2S2 2P4 7F1         (4)3(13.5)   311075.4 
   135     1    2S2 2P4 7F1         (2)3( 6.5)   311077.3 
   136     1    2S2 2P4 7I1         (4)5(21.5)   311082.2 
   137     1    2S2 2P4 7I1         (2)5(10.5)   311082.2 
   138     1    2S2 2P4 7I1         (4)6(25.5)   311082.2 
   139     1    2S2 2P4 7I1         (2)6(12.5)   311082.2 
   140     1    2S2 2P4 7I1         (4)7(29.5)   311082.2 
   141     1    2S2 2P4 7I1         (2)7(14.5)   311082.2 
   142     1    2S2 2P4 7D1         (2)1( 2.5)   311095.3 
   143     1    2S2 2P4 7F1         (4)4(17.5)   311100.5 
   144     1    2S2 2P4 7F1         (2)4( 8.5)   311101.0 
   145     1    2S2 2P4 7F1         (4)2( 9.5)   311109.3 
   146     1    2S2 2P4 7F1         (2)2( 4.5)   311110.4 
   147     1    2S2 2P4 8S1         (4)1( 5.5)   311181.4 
   148     1    2S2 2P4 8S1         (2)1( 2.5)   311303.6 
   149     1    2S2 2P4 8P1         (4)1( 5.5)   311898.2 
   150     1    2S2 2P4 8P1         (4)2( 9.5)   311965.9 
   151     1    2S2 2P4 8P1         (2)2( 4.5)   312042.7 
   152     1    2S2 2P4 8P1         (2)0( 0.5)   312067.5 
   153     1    2S2 2P4 8P1         (4)0( 1.5)   312067.5 
   154     1    2S2 2P4 8P1         (2)1( 2.5)   312483.2 
   155     2    2S2 2P4 4P1         (2)1( 2.5)   312509.4 
   156     1    2S2 2P4 8D1         (4)2( 9.5)   313081.8 
   157     1    2S2 2P4 8D1         (4)3(13.5)   313128.1 
   158     1    2S2 2P4 8D1         (2)3( 6.5)   313144.9 
   159     1    2S2 2P4 8D1         (4)1( 5.5)   313153.8 
   160     1    2S2 2P4 8G1         (4)3(13.5)   313164.5 
