SEQ='C '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  25455599.3   NPRNTI= 2   NPRNTF= 7
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    85     1    2S2 2P1 5D1         (1)3( 3.0)   900134.6 
    86     1    2S2 2P1 5G1         (3)3(10.0)   900378.5 
    87     1    2S2 2P1 5G1         (1)3( 3.0)   900378.5 
    88     1    2S2 2P1 5G1         (3)4(13.0)   900378.5 
    89     1    2S2 2P1 5G1         (1)4( 4.0)   900378.5 
    90     1    2S2 2P1 5G1         (3)5(16.0)   900378.5 
    91     1    2S2 2P1 5G1         (1)5( 5.0)   900378.5 
    92     1    2S2 2P1 5F1         (3)4(13.0)   900523.0 
    93     5    2S1 2P2 3P1         (3)1( 4.0)   900814.7 
    94     1    2S2 2P1 5F1         (1)4( 4.0)   900814.9 
    95     1    2S2 2P1 5F1         (3)2( 7.0)   900845.8 
    96     1    2S2 2P1 5F1         (1)2( 2.0)   901010.0 
    97     2    2S1 2P2 4P1         (5)2(12.0)   907359.6 
    98     2    2S1 2P2 4P1         (3)0( 1.0)   907906.1 
    99     2    2S1 2P2 4P1         (5)1( 7.0)   908711.2 
   100     2    2S1 2P2 4P1         (3)2( 7.0)   915553.8 
   101     2    2S1 2P2 4P1         (5)0( 2.0)   916591.0 
   102     2    2S1 2P2 4P1         (3)1( 4.0)   918316.0 
   103     5    2S1 2P2 3P1         (3)0( 1.0)   920121.7 
   104     1    2S2 2P1 6S1         (3)1( 4.0)   922207.2 
   105     1    2S2 2P1 6S1         (1)1( 1.0)   922878.9 
   106     4    2S1 2P2 3D1         (3)2( 7.0)   924630.8 
   107     2    2S1 2P2 4D1         (5)3(17.0)   925190.0 
   108     1    2S2 2P1 6P1         (1)1( 1.0)   926362.3 
   109     1    2S2 2P1 6P1         (3)2( 7.0)   926694.9 
   110     2    2S1 2P2 4D1         (5)2(12.0)   927058.3 
   111     1    2S2 2P1 6P1         (3)0( 1.0)   927193.6 
   112     1    2S2 2P1 6P1         (3)1( 4.0)   928134.8 
   113     1    2S2 2P1 6P1         (1)2( 2.0)   929035.0 
   114     2    2S1 2P2 4D1         (5)1( 7.0)   929042.3 
   115     2    2S1 2P2 4D1         (3)1( 4.0)   929746.7 
   116     1    2S2 2P1 6P1         (1)0( 0.0)   930479.7 
   117     1    2S2 2P1 6D1         (1)2( 2.0)   931539.6 
   118     1    2S2 2P1 6D1         (3)3(10.0)   931598.3 
   119     1    2S2 2P1 6D1         (3)2( 7.0)   932354.6 
   120     1    2S2 2P1 6D1         (3)1( 4.0)   932536.4 
   121     2    2S1 2P2 4D1         (3)3(10.0)   933084.1 
   122     1    2S2 2P1 6F1         (1)3( 3.0)   933740.4 
   123     1    2S2 2P1 6F1         (3)3(10.0)   933780.7 
   124     1    2S2 2P1 6D1         (1)1( 1.0)   933806.5 
   125     1    2S2 2P1 6D1         (1)3( 3.0)   933839.1 
   126     1    2S2 2P1 6G1         (3)3(10.0)   934032.5 
   127     1    2S2 2P1 6G1         (1)3( 3.0)   934032.5 
   128     1    2S2 2P1 6G1         (3)4(13.0)   934032.5 
   129     1    2S2 2P1 6G1         (1)4( 4.0)   934032.5 
   130     1    2S2 2P1 6G1         (3)5(16.0)   934032.5 
   131     1    2S2 2P1 6G1         (1)5( 5.0)   934032.5 
   132     2    2S1 2P2 4F1         (5)2(12.0)   934038.7 
   133     1    2S2 2P1 6F1         (3)4(13.0)   934083.9 
   134     1    2S2 2P1 6H1         (3)4(13.0)   934114.3 
   135     1    2S2 2P1 6H1         (1)4( 4.0)   934114.3 
   136     1    2S2 2P1 6H1         (3)5(16.0)   934114.3 
   137     1    2S2 2P1 6H1         (1)5( 5.0)   934114.3 
   138     1    2S2 2P1 6H1         (3)6(19.0)   934114.3 
   139     1    2S2 2P1 6H1         (1)6( 6.0)   934114.3 
   140     2    2S1 2P2 4F1         (3)2( 7.0)   934201.6 
   141     1    2S2 2P1 6F1         (3)2( 7.0)   934274.6 
   142     1    2S2 2P1 6F1         (1)4( 4.0)   934277.2 
   143     2    2S1 2P2 4F1         (5)4(22.0)   934359.3 
   144     1    2S2 2P1 6F1         (1)2( 2.0)   934383.5 
   145     2    2S1 2P2 4F1         (3)4(13.0)   934798.9 
   146     2    2S1 2P2 4F1         (5)3(17.0)   935793.0 
   147     2    2S1 2P2 4F1         (3)3(10.0)   936333.6 
   148     2    2S1 2P2 4D1         (3)2( 7.0)   936524.2 
   149     5    2S1 2P2 3D1         (3)3(10.0)   946005.3 
   150     1    2S2 2P1 7S1         (3)1( 4.0)   947013.8 
   151     1    2S2 2P1 7S1         (1)1( 1.0)   947418.1 
   152     1    2S2 2P1 7P1         (1)1( 1.0)   949571.3 
   153     1    2S2 2P1 7P1         (3)2( 7.0)   949773.6 
   154     1    2S2 2P1 7P1         (3)0( 1.0)   950077.0 
   155     1    2S2 2P1 7P1         (3)1( 4.0)   950638.7 
   156     1    2S2 2P1 7P1         (1)2( 2.0)   951187.4 
   157     5    2S1 2P2 3D1         (3)2( 7.0)   951721.6 
   158     1    2S2 2P1 7P1         (1)0( 0.0)   952067.5 
   159     5    2S1 2P2 3D1         (3)1( 4.0)   952733.8 
   160     1    2S2 2P1 7D1         (1)2( 2.0)   952744.8 
   161     1    2S2 2P1 7D1         (3)3(10.0)   952777.1 
   162     1    2S2 2P1 7D1         (3)2( 7.0)   953251.6 
   163     1    2S2 2P1 7D1         (3)1( 4.0)   953358.0 
   164     1    2S2 2P1 7F1         (1)3( 3.0)   954122.5 
   165     1    2S2 2P1 7F1         (3)3(10.0)   954149.6 
   166     1    2S2 2P1 7D1         (1)1( 1.0)   954150.3 
   167     1    2S2 2P1 7D1         (1)3( 3.0)   954171.9 
   168     1    2S2 2P1 7G1         (3)3(10.0)   954313.1 
   169     1    2S2 2P1 7G1         (1)3( 3.0)   954313.1 
   170     1    2S2 2P1 7G1         (3)4(13.0)   954313.1 
   171     1    2S2 2P1 7G1         (1)4( 4.0)   954313.1 
   172     1    2S2 2P1 7G1         (3)5(16.0)   954313.1 
   173     1    2S2 2P1 7G1         (1)5( 5.0)   954313.1 
   174     1    2S2 2P1 7F1         (3)4(13.0)   954333.5 
   175     1    2S2 2P1 7H1         (3)4(13.0)   954364.6 
   176     1    2S2 2P1 7H1         (1)4( 4.0)   954364.6 
   177     1    2S2 2P1 7H1         (3)5(16.0)   954364.6 
   178     1    2S2 2P1 7H1         (1)5( 5.0)   954364.6 
   179     1    2S2 2P1 7H1         (3)6(19.0)   954364.6 
   180     1    2S2 2P1 7H1         (1)6( 6.0)   954364.6 
   181     1    2S2 2P1 7I1         (3)5(16.0)   954387.6 
   182     1    2S2 2P1 7I1         (1)5( 5.0)   954387.6 
   183     1    2S2 2P1 7I1         (3)6(19.0)   954387.6 
   184     1    2S2 2P1 7I1         (1)6( 6.0)   954387.6 
   185     1    2S2 2P1 7I1         (3)7(22.0)   954387.6 
   186     1    2S2 2P1 7I1         (1)7( 7.0)   954387.6 
   187     1    2S2 2P1 7F1         (3)2( 7.0)   954455.0 
   188     1    2S2 2P1 7F1         (1)4( 4.0)   954464.1 
   189     1    2S2 2P1 7F1         (1)2( 2.0)   954528.6 
   190     1    2S2 2P1 8S1         (3)1( 4.0)   962650.1 
   191     1    2S2 2P1 8S1         (1)1( 1.0)   962912.6 
   192     1    2S2 2P1 8P1         (1)1( 1.0)   964334.0 
   193     1    2S2 2P1 8P1         (3)2( 7.0)   964466.3 
   194     1    2S2 2P1 8P1         (3)0( 1.0)   964664.7 
   195     1    2S2 2P1 8P1         (3)1( 4.0)   965028.0 
   196     1    2S2 2P1 8P1         (1)2( 2.0)   965387.5 
   197     1    2S2 2P1 8P1         (1)0( 0.0)   965963.7 
   198     1    2S2 2P1 8D1         (1)2( 2.0)   966421.1 
   199     1    2S2 2P1 8D1         (3)3(10.0)   966440.8 
   200     1    2S2 2P1 8D1         (3)2( 7.0)   966757.6 
   201     1    2S2 2P1 8D1         (3)1( 4.0)   966825.6 
   202     1    2S2 2P1 8F1         (1)3( 3.0)   967339.9 
   203     1    2S2 2P1 8D1         (1)1( 1.0)   967352.7 
   204     1    2S2 2P1 8F1         (3)3(10.0)   967358.9 
   205     1    2S2 2P1 8D1         (1)3( 3.0)   967367.7 
   206     1    2S2 2P1 8G1         (3)3(10.0)   967470.5 
   207     1    2S2 2P1 8G1         (1)3( 3.0)   967470.5 
   208     1    2S2 2P1 8G1         (3)4(13.0)   967470.5 
   209     1    2S2 2P1 8G1         (1)4( 4.0)   967470.5 
   210     1    2S2 2P1 8G1         (3)5(16.0)   967470.5 
   211     1    2S2 2P1 8G1         (1)5( 5.0)   967470.5 
   212     1    2S2 2P1 8F1         (3)4(13.0)   967479.1 
   213     1    2S2 2P1 8H1         (3)4(13.0)   967505.0 
   214     1    2S2 2P1 8H1         (1)4( 4.0)   967505.0 
   215     1    2S2 2P1 8H1         (3)5(16.0)   967505.0 
   216     1    2S2 2P1 8H1         (1)5( 5.0)   967505.0 
   217     1    2S2 2P1 8H1         (3)6(19.0)   967505.0 
   218     1    2S2 2P1 8H1         (1)6( 6.0)   967505.0 
   219     1    2S2 2P1 8I1         (3)5(16.0)   967520.4 
   220     1    2S2 2P1 8I1         (1)5( 5.0)   967520.4 
   221     1    2S2 2P1 8I1         (3)6(19.0)   967520.4 
   222     1    2S2 2P1 8I1         (1)6( 6.0)   967520.4 
   223     1    2S2 2P1 8I1         (3)7(22.0)   967520.4 
   224     1    2S2 2P1 8I1         (1)7( 7.0)   967520.4 
   225     1    2S2 2P1 8J1         (3)6(19.0)   967528.3 
   226     1    2S2 2P1 8J1         (1)6( 6.0)   967528.3 
   227     1    2S2 2P1 8J1         (3)7(22.0)   967528.3 
   228     1    2S2 2P1 8J1         (1)7( 7.0)   967528.3 
   229     1    2S2 2P1 8J1         (3)8(25.0)   967528.3 
