	iz	LowerstatenameImpZeff	UpperstatenameImpZeff	rate(s-1)	Acc	E_i(cm-1)	E_k(cm-1)	Lowerconf	Lowerterm	LowerJ	Upperconf	Upperterm	UpperJ
142	0	2s2,2p2 3P	2s2,2p1,6d1 1P	3.60E+04	D	43.4134567	87830.18	2s22p2	3P	2	2s22p6d	1P^0	1
143	0	2s2,2p2 3P	2s2,2p1,7s1 1P	6.20E+06	C+	16.416713	87789.646	2s22p2	3P	1	2s22p7s	1P^0	1
144	0	2s2,2p2 3P	2s2,2p1,6d1 1F	4.30E+06	C+	43.4134567	87806.95	2s22p2	3P	2	2s22p6d	1F^0	3
145	0	2s2,2p2 3P	2s2,2p1,6d1 3D	2.70E+07	B	16.416713	87773.113	2s22p2	3P	1	2s22p6d	3D^0	2
146	0	2s2,2p2 3P	2s2,2p1,7s1 1P	2.30E+06	C+	43.4134567	87789.646	2s22p2	3P	2	2s22p7s	1P^0	1
147	0	2s2,2p2 3P	2s2,2p1,7s1 3P	4.60E+06	C+	16.416713	87753.763	2s22p2	3P	1	2s22p7s	3P^0	2
148	0	2s2,2p2 3P	2s2,2p1,6d1 3D	2.11E+07	B	0	87735.33	2s22p2	3P	0	2s22p6d	3D^0	1
149	0	2s2,2p2 3P	2s2,2p1,6d1 3D	3.00E+07	B	43.4134567	87777.18	2s22p2	3P	2	2s22p6d	3D^0	3
150	0	2s2,2p2 3P	2s2,2p1,6d1 3D	1.30E+06	C+	43.4134567	87773.113	2s22p2	3P	2	2s22p6d	3D^0	2
151	0	2s2,2p2 3P	2s2,2p1,6d1 3D	9.50E+06	C+	16.416713	87735.33	2s22p2	3P	1	2s22p6d	3D^0	1
152	0	2s2,2p2 3P	2s2,2p1,7s1 3P	6.10E+06	C+	0	87718.583	2s22p2	3P	0	2s22p7s	3P^0	1
153	0	2s2,2p2 3P	2s2,2p1,7s1 3P	1.84E+07	B	43.4134567	87753.763	2s22p2	3P	2	2s22p7s	3P^0	2
154	0	2s2,2p2 3P	2s2,2p1,7s1 3P	1.50E+06	C+	16.416713	87718.583	2s22p2	3P	1	2s22p7s	3P^0	1
155	0	2s2,2p2 3P	2s2,2p1,7s1 3P	1.15E+07	B	16.416713	87711.39	2s22p2	3P	1	2s22p7s	3P^0	0
156	0	2s2,2p2 3P	2s2,2p1,6d1 3D	1.10E+05	C	43.4134567	87735.33	2s22p2	3P	2	2s22p6d	3D^0	1
157	0	2s2,2p2 3P	2s2,2p1,6d1 3F	6.40E+06	C+	16.416713	87708.22	2s22p2	3P	1	2s22p6d	3F^0	2
158	0	2s2,2p2 3P	2s2,2p1,7s1 3P	4.20E+06	C+	43.4134567	87718.583	2s22p2	3P	2	2s22p7s	3P^0	1
159	0	2s2,2p2 3P	2s2,2p1,6d1 3F	6.30E+06	C+	43.4134567	87713.42	2s22p2	3P	2	2s22p6d	3F^0	3
160	0	2s2,2p2 3P	2s2,2p1,6d1 3F	2.00E+05	C	43.4134567	87708.22	2s22p2	3P	2	2s22p6d	3F^0	2
161	0	2s2,2p2 3P	2s2,2p1,6d1 1D	4.50E+05	C	16.416713	87633.77	2s22p2	3P	1	2s22p6d	1D^0	2
162	0	2s2,2p2 3P	2s2,2p1,6d1 1D	2.00E+05	C	43.4134567	87633.77	2s22p2	3P	2	2s22p6d	1D^0	2
163	0	2s2,2p2 3P	2s2,2p1,5d1 3P	8.20E+06	C+	0	86519.506	2s22p2	3P	0	2s22p5d	3P^0	1
164	0	2s2,2p2 3P	2s2,2p1,5d1 3P	3.70E+07	B	16.416713	86523.19	2s22p2	3P	1	2s22p5d	3P^0	0
165	0	2s2,2p2 3P	2s2,2p1,5d1 3P	1.14E+07	B	16.416713	86519.506	2s22p2	3P	1	2s22p5d	3P^0	1
166	0	2s2,2p2 3P	2s2,2p1,5d1 1P	1.35E+06	C+	0	86491.441	2s22p2	3P	0	2s22p5d	1P^0	1
167	0	2s2,2p2 3P	2s2,2p1,5d1 3P	2.40E+06	C+	16.416713	86506.7138	2s22p2	3P	1	2s22p5d	3P^0	2
168	0	2s2,2p2 3P	2s2,2p1,5d1 3P	1.51E+07	B	43.4134567	86519.506	2s22p2	3P	2	2s22p5d	3P^0	1
169	0	2s2,2p2 3P	2s2,2p1,5d1 1P	8.10E+05	C	16.416713	86491.441	2s22p2	3P	1	2s22p5d	1P^0	1
