	iz	LowerstatenameImpZeff	UpperstatenameImpZeff	rate(s-1)	Acc	E_i(cm-1)	E_k(cm-1)	Lowerconf	Lowerterm	LowerJ	Upperconf	Upperterm	UpperJ
47	0	2s2,2p2 3P	2s2,2p(2P^3/2)1,1d1 2[7/2]	1.70E+06	E	43.4134567	89971.39	2s22p2	3P	2	2s22p(2P^3/2)11d	2[7/2]^0	3
48	0	2s2,2p2 3P	2s2,2p(2P^3/2)1,1d1 2[5/2]	7.00E+06	E	43.4134567	89970	2s22p2	3P	2	2s22p(2P^3/2)11d	2[5/2]^0	3
49	0	2s2,2p2 3P	2s2,2p(2P^1/2)1,1d1 2[3/2]	6.00E+06	E	0	89906.5	2s22p2	3P	0	2s22p(2P^1/2)11d	2[3/2]^0	1
50	0	2s2,2p2 3P	2s2,2p(2P^1/2)1,1d1 2[3/2]	8.00E+06	E	16.416713	89905.4	2s22p2	3P	1	2s22p(2P^1/2)11d	2[3/2]^0	2
51	0	2s2,2p2 3P	2s2,2p(2P^1/2)1,1d1 2[5/2]	2.60E+06	E	43.4134567	89905.05	2s22p2	3P	2	2s22p(2P^1/2)11d	2[5/2]^0	3
52	0	2s2,2p2 3P	2s2,2p(2P^1/2)1,1d1 2[5/2]	5.00E+05	E	43.4134567	89895.6	2s22p2	3P	2	2s22p(2P^1/2)11d	2[5/2]^0	2
53	0	2s2,2p2 3P	2s2,2p(2P^3/2)1,0d1 2[1/2]	1.10E+07	E	16.416713	89785.7	2s22p2	3P	1	2s22p(2P^3/2)10d	2[1/2]^0	0
54	0	2s2,2p2 3P	2s2,2p(2P^3/2)1,0d1 2[1/2]	3.40E+06	E	16.416713	89783.4	2s22p2	3P	1	2s22p(2P^3/2)10d	2[1/2]^0	1
55	0	2s2,2p2 3P	2s2,2p(2P^3/2)1,0d1 2[5/2]	3.30E+06	E	16.416713	89772.89	2s22p2	3P	1	2s22p(2P^3/2)10d	2[5/2]^0	2
56	0	2s2,2p2 3P	2s2,2p(2P^3/2)1,0d1 2[3/2]	4.00E+06	E	43.4134567	89783.8	2s22p2	3P	2	2s22p(2P^3/2)10d	2[3/2]^0	2
57	0	2s2,2p2 3P	2s2,2p(2P^3/2)1,0d1 2[1/2]	3.30E+06	E	43.4134567	89783.4	2s22p2	3P	2	2s22p(2P^3/2)10d	2[1/2]^0	1
58	0	2s2,2p2 3P	2s2,2p(2P^3/2)1,0d1 2[7/2]	1.90E+06	E	43.4134567	89779.1	2s22p2	3P	2	2s22p(2P^3/2)10d	2[7/2]^0	3
59	0	2s2,2p2 3P	2s2,2p(2P^3/2)1,0d1 2[5/2]	9.00E+06	E	43.4134567	89773.2	2s22p2	3P	2	2s22p(2P^3/2)10d	2[5/2]^0	3
60	0	2s2,2p2 3P	2s2,2p(2P^1/2)1,0d1 2[3/2]	8.00E+06	E	0	89716.33	2s22p2	3P	0	2s22p(2P^1/2)10d	2[3/2]^0	1
61	0	2s2,2p2 3P	2s2,2p(2P^1/2)1,0d1 2[3/2]	9.00E+06	E	16.416713	89713.2	2s22p2	3P	1	2s22p(2P^1/2)10d	2[3/2]^0	2
62	0	2s2,2p2 3P	2s2,2p(2P^1/2)1,0d1 2[5/2]	3.30E+06	E	43.4134567	89711.4	2s22p2	3P	2	2s22p(2P^1/2)10d	2[5/2]^0	3
