X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
3.200000e+01	-4.820000e-18	9.845000e-18	9.845000e-18
3.400000e+01	4.615000e-18	8.615000e-18	8.615000e-18
3.600000e+01	7.897000e-18	6.563000e-18	6.563000e-18
3.800000e+01	3.005000e-17	6.150000e-18	6.150000e-18
4.000000e+01	4.358000e-17	5.750000e-18	5.750000e-18
4.200000e+01	6.164000e-17	7.790000e-18	7.790000e-18
4.500000e+01	7.641000e-17	8.200000e-18	8.200000e-18
4.750000e+01	9.076000e-17	9.030000e-18	9.030000e-18
5.000000e+01	9.979000e-17	9.010000e-18	9.010000e-18
5.500000e+01	1.133000e-16	9.800000e-18	9.800000e-18
6.000000e+01	1.194000e-16	9.900000e-18	9.900000e-18
6.500000e+01	1.227000e-16	9.900000e-18	9.900000e-18
7.250000e+01	1.326000e-16	1.060000e-17	1.060000e-17
8.000000e+01	1.346000e-16	1.030000e-17	1.030000e-17
9.000000e+01	1.363000e-16	1.060000e-17	1.060000e-17
1.000000e+02	1.330000e-16	1.020000e-17	1.020000e-17
1.100000e+02	1.272000e-16	9.900000e-18	9.900000e-18
1.200000e+02	1.256000e-16	9.000000e-18	9.000000e-18
1.300000e+02	1.219000e-16	9.800000e-18	9.800000e-18
1.400000e+02	1.190000e-16	9.500000e-18	9.500000e-18
1.500000e+02	1.198000e-16	9.100000e-18	9.100000e-18
1.600000e+02	1.178000e-16	9.400000e-18	9.400000e-18
1.700000e+02	1.166000e-16	9.400000e-18	9.400000e-18
1.800000e+02	1.162000e-16	9.000000e-18	9.000000e-18
1.900000e+02	1.149000e-16	9.100000e-18	9.100000e-18
2.000000e+02	1.116000e-16	8.200000e-18	8.200000e-18
2.150000e+02	1.092000e-16	8.200000e-18	8.200000e-18
2.300000e+02	1.063000e-16	7.800000e-18	7.800000e-18
2.450000e+02	1.051000e-16	7.800000e-18	7.800000e-18
2.600000e+02	1.026000e-16	7.400000e-18	7.400000e-18
2.750000e+02	1.010000e-16	7.400000e-18	7.400000e-18
2.900000e+02	9.815000e-17	7.350000e-18	7.350000e-18
3.100000e+02	9.610000e-17	6.900000e-18	6.900000e-18
3.300000e+02	9.323000e-17	6.560000e-18	6.560000e-18
3.500000e+02	8.994000e-17	6.570000e-18	6.570000e-18
3.750000e+02	8.912000e-17	6.160000e-18	6.160000e-18
4.000000e+02	8.748000e-17	6.980000e-18	6.980000e-18
4.350000e+02	8.338000e-17	5.740000e-18	5.740000e-18
4.700000e+02	8.051000e-17	6.150000e-18	6.150000e-18
5.000000e+02	7.764000e-17	6.560000e-18	6.560000e-18
5.500000e+02	7.435000e-17	5.750000e-18	5.750000e-18
6.000000e+02	7.148000e-17	4.930000e-18	4.930000e-18
6.500000e+02	6.820000e-17	5.330000e-18	5.330000e-18
7.000000e+02	6.574000e-17	4.920000e-18	4.920000e-18
7.500000e+02	6.246000e-17	4.510000e-18	4.510000e-18
8.000000e+02	6.041000e-17	4.100000e-18	4.100000e-18
8.500000e+02	5.794000e-17	4.520000e-18	4.520000e-18
9.000000e+02	5.630000e-17	4.110000e-18	4.110000e-18
