X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
3.800000e+01	4.473000e-18	1.842000e-18	1.842000e-18
4.000000e+01	2.894000e-18	1.579000e-18	1.579000e-18
4.200000e+01	3.947000e-18	1.053000e-18	1.053000e-18
4.400000e+01	2.631000e-18	1.579000e-18	1.579000e-18
4.600000e+01	7.894000e-18	1.316000e-18	1.316000e-18
4.800000e+01	1.000000e-17	1.050000e-18	1.050000e-18
5.000000e+01	1.184000e-17	1.580000e-18	1.580000e-18
5.150000e+01	1.868000e-17	2.100000e-18	2.100000e-18
5.300000e+01	2.578000e-17	1.850000e-18	1.850000e-18
5.400000e+01	3.605000e-17	3.160000e-18	3.160000e-18
5.600000e+01	4.526000e-17	3.420000e-18	3.420000e-18
5.800000e+01	5.526000e-17	4.210000e-18	4.210000e-18
6.000000e+01	5.947000e-17	4.740000e-18	4.740000e-18
6.500000e+01	6.789000e-17	5.790000e-18	5.790000e-18
7.000000e+01	7.868000e-17	6.050000e-18	6.050000e-18
7.600000e+01	8.184000e-17	6.050000e-18	6.050000e-18
8.200000e+01	8.289000e-17	6.580000e-18	6.580000e-18
9.000000e+01	8.526000e-17	6.840000e-18	6.840000e-18
1.000000e+02	8.763000e-17	6.580000e-18	6.580000e-18
1.100000e+02	8.789000e-17	7.110000e-18	7.110000e-18
1.250000e+02	8.815000e-17	6.850000e-18	6.850000e-18
1.400000e+02	8.605000e-17	6.840000e-18	6.840000e-18
1.600000e+02	8.421000e-17	6.840000e-18	6.840000e-18
1.700000e+02	8.184000e-17	6.050000e-18	6.050000e-18
1.800000e+02	7.921000e-17	6.050000e-18	6.050000e-18
1.900000e+02	7.815000e-17	6.060000e-18	6.060000e-18
2.000000e+02	7.684000e-17	5.520000e-18	5.520000e-18
2.300000e+02	7.447000e-17	5.530000e-18	5.530000e-18
2.600000e+02	7.052000e-17	5.530000e-18	5.530000e-18
3.000000e+02	6.789000e-17	5.260000e-18	5.260000e-18
3.400000e+02	6.289000e-17	5.000000e-18	5.000000e-18
3.700000e+02	6.157000e-17	4.740000e-18	4.740000e-18
3.900000e+02	5.894000e-17	4.210000e-18	4.210000e-18
4.000000e+02	5.921000e-17	4.470000e-18	4.470000e-18
4.400000e+02	5.684000e-17	4.210000e-18	4.210000e-18
5.000000e+02	5.394000e-17	4.480000e-18	4.480000e-18
5.600000e+02	5.105000e-17	3.950000e-18	3.950000e-18
6.400000e+02	4.789000e-17	3.420000e-18	3.420000e-18
7.200000e+02	4.526000e-17	2.890000e-18	2.890000e-18
8.000000e+02	4.184000e-17	3.160000e-18	3.160000e-18
9.000000e+02	3.921000e-17	2.890000e-18	2.890000e-18
