X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
1.800000e+01	2.257000e-18	1.806000e-18	1.806000e-18
2.000000e+01	1.354000e-18	1.354000e-18	1.354000e-18
2.200000e+01	3.611000e-18	0.000000e+00	0.000000e+00
2.300000e+01	6.772000e-18	0.000000e+00	0.000000e+00
2.400000e+01	1.354000e-17	0.000000e+00	0.000000e+00
2.500000e+01	2.121000e-17	2.260000e-18	2.260000e-18
2.600000e+01	2.889000e-17	3.160000e-18	3.160000e-18
2.700000e+01	3.882000e-17	4.060000e-18	4.060000e-18
2.800000e+01	4.785000e-17	4.510000e-18	4.510000e-18
2.900000e+01	5.372000e-17	4.970000e-18	4.970000e-18
3.000000e+01	6.049000e-17	5.420000e-18	5.420000e-18
3.150000e+01	6.862000e-17	5.870000e-18	5.870000e-18
3.300000e+01	7.765000e-17	7.230000e-18	7.230000e-18
3.500000e+01	9.164000e-17	8.200000e-18	8.200000e-18
3.750000e+01	1.051000e-16	9.100000e-18	9.100000e-18
4.000000e+01	1.191000e-16	9.900000e-18	9.900000e-18
4.250000e+01	1.277000e-16	1.040000e-17	1.040000e-17
4.500000e+01	1.345000e-16	1.080000e-17	1.080000e-17
4.800000e+01	1.417000e-16	1.090000e-17	1.090000e-17
5.000000e+01	1.471000e-16	1.170000e-17	1.170000e-17
5.200000e+01	1.494000e-16	1.080000e-17	1.080000e-17
5.400000e+01	1.553000e-16	1.170000e-17	1.170000e-17
5.600000e+01	1.571000e-16	1.310000e-17	1.310000e-17
5.800000e+01	1.593000e-16	1.310000e-17	1.310000e-17
6.000000e+01	1.616000e-16	1.310000e-17	1.310000e-17
6.250000e+01	1.683000e-16	1.310000e-17	1.310000e-17
6.500000e+01	1.697000e-16	1.220000e-17	1.220000e-17
6.750000e+01	1.665000e-16	1.310000e-17	1.310000e-17
7.000000e+01	1.688000e-16	1.350000e-17	1.350000e-17
7.300000e+01	1.697000e-16	1.310000e-17	1.310000e-17
7.650000e+01	1.688000e-16	1.360000e-17	1.360000e-17
8.000000e+01	1.611000e-16	1.270000e-17	1.270000e-17
8.400000e+01	1.629000e-16	1.270000e-17	1.270000e-17
8.800000e+01	1.593000e-16	1.220000e-17	1.220000e-17
9.200000e+01	1.575000e-16	1.170000e-17	1.170000e-17
9.600000e+01	1.544000e-16	1.130000e-17	1.130000e-17
1.000000e+02	1.525000e-16	1.130000e-17	1.130000e-17
1.070000e+02	1.476000e-16	1.090000e-17	1.090000e-17
1.150000e+02	1.471000e-16	1.180000e-17	1.180000e-17
1.220000e+02	1.435000e-16	9.400000e-18	9.400000e-18
1.300000e+02	1.413000e-16	1.030000e-17	1.030000e-17
1.400000e+02	1.386000e-16	1.080000e-17	1.080000e-17
1.500000e+02	1.345000e-16	1.040000e-17	1.040000e-17
1.650000e+02	1.313000e-16	9.900000e-18	9.900000e-18
1.800000e+02	1.277000e-16	8.600000e-18	8.600000e-18
2.000000e+02	1.227000e-16	9.500000e-18	9.500000e-18
2.200000e+02	1.187000e-16	8.100000e-18	8.100000e-18
2.400000e+02	1.151000e-16	8.100000e-18	8.100000e-18
2.600000e+02	1.092000e-16	8.100000e-18	8.100000e-18
2.800000e+02	1.079000e-16	8.100000e-18	8.100000e-18
3.000000e+02	1.029000e-16	7.200000e-18	7.200000e-18
3.200000e+02	1.006000e-16	8.200000e-18	8.200000e-18
3.400000e+02	9.841000e-17	7.590000e-18	7.590000e-18
3.600000e+02	9.661000e-17	8.090000e-18	8.090000e-18
3.900000e+02	9.074000e-17	6.320000e-18	6.320000e-18
4.200000e+02	8.713000e-17	6.320000e-18	6.320000e-18
4.500000e+02	8.623000e-17	6.320000e-18	6.320000e-18
4.800000e+02	8.126000e-17	5.420000e-18	5.420000e-18
5.100000e+02	7.855000e-17	5.420000e-18	5.420000e-18
5.400000e+02	7.629000e-17	5.420000e-18	5.420000e-18
5.700000e+02	7.404000e-17	4.960000e-18	4.960000e-18
6.000000e+02	7.449000e-17	4.960000e-18	4.960000e-18
6.300000e+02	6.907000e-17	5.420000e-18	5.420000e-18
6.700000e+02	6.772000e-17	4.960000e-18	4.960000e-18
7.200000e+02	6.546000e-17	4.510000e-18	4.510000e-18
7.600000e+02	6.365000e-17	4.070000e-18	4.070000e-18
8.000000e+02	6.004000e-17	4.970000e-18	4.970000e-18
