X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
8.000000e+01	3.448000e-19	2.155000e-19	2.155000e-19
9.000000e+01	7.758000e-19	2.582000e-19	2.582000e-19
1.000000e+02	3.491000e-18	3.450000e-19	3.450000e-19
1.150000e+02	5.344000e-18	4.740000e-19	4.740000e-19
1.300000e+02	6.034000e-18	4.740000e-19	4.740000e-19
1.400000e+02	6.250000e-18	4.740000e-19	4.740000e-19
1.450000e+02	8.189000e-18	6.470000e-19	6.470000e-19
1.500000e+02	1.004000e-17	7.700000e-19	7.700000e-19
1.600000e+02	1.150000e-17	9.500000e-19	9.500000e-19
1.650000e+02	1.297000e-17	1.030000e-18	1.030000e-18
1.700000e+02	1.396000e-17	1.080000e-18	1.080000e-18
1.800000e+02	1.448000e-17	1.120000e-18	1.120000e-18
1.900000e+02	1.478000e-17	1.160000e-18	1.160000e-18
2.000000e+02	1.525000e-17	1.170000e-18	1.170000e-18
2.200000e+02	1.637000e-17	1.300000e-18	1.300000e-18
2.500000e+02	1.672000e-17	1.340000e-18	1.340000e-18
2.800000e+02	1.711000e-17	1.330000e-18	1.330000e-18
3.000000e+02	1.693000e-17	1.380000e-18	1.380000e-18
3.500000e+02	1.702000e-17	1.340000e-18	1.340000e-18
4.000000e+02	1.655000e-17	1.330000e-18	1.330000e-18
4.500000e+02	1.629000e-17	1.250000e-18	1.250000e-18
5.000000e+02	1.599000e-17	1.160000e-18	1.160000e-18
5.500000e+02	1.538000e-17	1.250000e-18	1.250000e-18
6.000000e+02	1.500000e-17	1.200000e-18	1.200000e-18
6.600000e+02	1.452000e-17	1.120000e-18	1.120000e-18
7.200000e+02	1.426000e-17	1.080000e-18	1.080000e-18
8.000000e+02	1.357000e-17	1.040000e-18	1.040000e-18
9.000000e+02	1.284000e-17	9.500000e-19	9.500000e-19
1.000000e+03	1.232000e-17	9.100000e-19	9.100000e-19
