X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
2.000000e+01	6.380000e-19	3.510000e-18	3.510000e-18
2.500000e+01	1.914000e-18	1.277000e-18	1.277000e-18
3.000000e+01	2.393000e-18	7.980000e-19	7.980000e-19
3.250000e+01	4.148000e-18	6.390000e-19	6.390000e-19
3.400000e+01	7.180000e-18	1.596000e-18	1.596000e-18
3.500000e+01	1.117000e-17	9.500000e-19	9.500000e-19
4.000000e+01	1.292000e-17	1.120000e-18	1.120000e-18
5.000000e+01	1.436000e-17	1.110000e-18	1.110000e-18
5.500000e+01	1.356000e-17	9.600000e-19	9.600000e-19
6.000000e+01	1.515000e-17	1.120000e-18	1.120000e-18
6.500000e+01	1.500000e-17	1.270000e-18	1.270000e-18
7.000000e+01	1.787000e-17	1.430000e-18	1.430000e-18
7.200000e+01	2.537000e-17	2.230000e-18	2.230000e-18
7.500000e+01	3.351000e-17	2.390000e-18	2.390000e-18
7.800000e+01	4.260000e-17	3.190000e-18	3.190000e-18
8.500000e+01	4.531000e-17	3.360000e-18	3.360000e-18
9.000000e+01	4.978000e-17	3.510000e-18	3.510000e-18
1.000000e+02	5.234000e-17	3.980000e-18	3.980000e-18
1.150000e+02	5.648000e-17	4.310000e-18	4.310000e-18
1.300000e+02	5.664000e-17	4.310000e-18	4.310000e-18
1.450000e+02	5.728000e-17	4.150000e-18	4.150000e-18
1.600000e+02	5.585000e-17	4.300000e-18	4.300000e-18
1.800000e+02	5.457000e-17	4.150000e-18	4.150000e-18
2.000000e+02	5.393000e-17	3.990000e-18	3.990000e-18
2.300000e+02	5.218000e-17	4.140000e-18	4.140000e-18
2.600000e+02	4.946000e-17	3.830000e-18	3.830000e-18
3.000000e+02	4.659000e-17	3.510000e-18	3.510000e-18
3.500000e+02	4.388000e-17	3.350000e-18	3.350000e-18
4.000000e+02	4.148000e-17	3.360000e-18	3.360000e-18
4.500000e+02	4.021000e-17	3.030000e-18	3.030000e-18
5.000000e+02	3.845000e-17	3.030000e-18	3.030000e-18
5.600000e+02	3.638000e-17	2.390000e-18	2.390000e-18
6.200000e+02	3.494000e-17	2.400000e-18	2.400000e-18
7.000000e+02	3.223000e-17	2.550000e-18	2.550000e-18
8.000000e+02	2.936000e-17	2.230000e-18	2.230000e-18
9.000000e+02	2.824000e-17	2.070000e-18	2.070000e-18
1.000000e+03	2.648000e-17	2.080000e-18	2.080000e-18
