X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
1.000000e+02	4.721000e-19	0.000000e+00	0.000000e+00
1.100000e+02	1.053000e-18	0.000000e+00	0.000000e+00
1.200000e+02	1.089000e-18	0.000000e+00	0.000000e+00
1.300000e+02	1.198000e-18	1.820000e-19	1.820000e-19
1.400000e+02	1.598000e-18	1.810000e-19	1.810000e-19
1.500000e+02	2.070000e-18	1.810000e-19	1.810000e-19
1.600000e+02	4.176000e-18	3.630000e-19	3.630000e-19
1.700000e+02	4.975000e-18	4.720000e-19	4.720000e-19
1.800000e+02	6.864000e-18	5.810000e-19	5.810000e-19
1.900000e+02	9.479000e-18	7.210000e-19	7.210000e-19
2.000000e+02	1.100000e-17	9.400000e-19	9.400000e-19
2.200000e+02	1.133000e-17	9.000000e-19	9.000000e-19
2.400000e+02	1.216000e-17	9.800000e-19	9.800000e-19
2.700000e+02	1.271000e-17	1.090000e-18	1.090000e-18
3.000000e+02	1.307000e-17	9.400000e-19	9.400000e-19
3.150000e+02	1.343000e-17	9.800000e-19	9.800000e-19
3.300000e+02	1.351000e-17	1.050000e-18	1.050000e-18
3.600000e+02	1.369000e-17	1.160000e-18	1.160000e-18
3.900000e+02	1.369000e-17	1.010000e-18	1.010000e-18
4.000000e+02	1.372000e-17	1.090000e-18	1.090000e-18
4.250000e+02	1.343000e-17	9.800000e-19	9.800000e-19
4.500000e+02	1.322000e-17	9.800000e-19	9.800000e-19
4.750000e+02	1.311000e-17	9.800000e-19	9.800000e-19
5.000000e+02	1.303000e-17	9.800000e-19	9.800000e-19
5.250000e+02	1.303000e-17	1.020000e-18	1.020000e-18
5.500000e+02	1.289000e-17	9.800000e-19	9.800000e-19
5.750000e+02	1.303000e-17	9.800000e-19	9.800000e-19
6.000000e+02	1.256000e-17	9.500000e-19	9.500000e-19
6.600000e+02	1.231000e-17	9.800000e-19	9.800000e-19
7.200000e+02	1.180000e-17	8.700000e-19	8.700000e-19
8.000000e+02	1.165000e-17	8.800000e-19	8.800000e-19
9.000000e+02	1.107000e-17	8.400000e-19	8.400000e-19
1.000000e+03	1.042000e-17	8.000000e-19	8.000000e-19
