X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
1.500000e+02	1.934000e-19	8.836000e-19	8.836000e-19
1.600000e+02	8.844000e-19	1.049600e-18	1.049600e-18
1.800000e+02	1.381000e-18	7.470000e-19	7.470000e-19
2.000000e+02	3.979000e-18	8.020000e-19	8.020000e-19
2.200000e+02	5.997000e-18	7.740000e-19	7.740000e-19
2.400000e+02	6.909000e-18	7.190000e-19	7.190000e-19
2.600000e+02	8.097000e-18	6.910000e-19	6.910000e-19
3.000000e+02	8.816000e-18	6.910000e-19	6.910000e-19
3.200000e+02	9.231000e-18	8.290000e-19	8.290000e-19
3.800000e+02	9.728000e-18	8.520000e-19	8.520000e-19
4.500000e+02	1.011000e-17	8.600000e-19	8.600000e-19
5.200000e+02	9.839000e-18	7.710000e-19	7.710000e-19
6.000000e+02	9.866000e-18	7.740000e-19	7.740000e-19
6.800000e+02	9.479000e-18	7.410000e-19	7.410000e-19
7.600000e+02	9.148000e-18	7.460000e-19	7.460000e-19
8.400000e+02	8.733000e-18	6.630000e-19	6.630000e-19
9.200000e+02	8.623000e-18	6.630000e-19	6.630000e-19
1.000000e+03	8.484000e-18	6.360000e-19	6.360000e-19
1.100000e+03	8.208000e-18	6.360000e-19	6.360000e-19
1.200000e+03	7.932000e-18	6.350000e-19	6.350000e-19
1.350000e+03	7.489000e-18	5.530000e-19	5.530000e-19
1.500000e+03	7.241000e-18	5.520000e-19	5.520000e-19
1.650000e+03	6.854000e-18	4.970000e-19	4.970000e-19
1.800000e+03	6.633000e-18	4.970000e-19	4.970000e-19
2.000000e+03	6.273000e-18	4.700000e-19	4.700000e-19
2.300000e+03	5.859000e-18	4.140000e-19	4.140000e-19
2.600000e+03	5.444000e-18	4.420000e-19	4.420000e-19
2.900000e+03	5.113000e-18	3.870000e-19	3.870000e-19
3.200000e+03	4.809000e-18	3.310000e-19	3.310000e-19
3.500000e+03	4.560000e-18	3.590000e-19	3.590000e-19
3.800000e+03	4.256000e-18	3.310000e-19	3.310000e-19
4.100000e+03	4.007000e-18	3.040000e-19	3.040000e-19
4.400000e+03	3.786000e-18	2.760000e-19	2.760000e-19
4.700000e+03	3.565000e-18	2.760000e-19	2.760000e-19
5.000000e+03	3.427000e-18	2.480000e-19	2.480000e-19
