X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
1.500000e+02	-1.518000e-19	2.733000e-19	2.733000e-19
1.550000e+02	9.721000e-19	5.459000e-19	5.459000e-19
1.600000e+02	5.468000e-19	5.162000e-19	5.162000e-19
1.650000e+02	1.184000e-18	5.780000e-19	5.780000e-19
1.700000e+02	2.491000e-18	6.070000e-19	6.070000e-19
1.750000e+02	2.612000e-18	4.860000e-19	4.860000e-19
1.800000e+02	3.645000e-18	3.950000e-19	3.950000e-19
1.900000e+02	4.982000e-18	5.470000e-19	5.470000e-19
2.000000e+02	7.017000e-18	6.690000e-19	6.690000e-19
2.100000e+02	8.020000e-18	6.980000e-19	6.980000e-19
2.200000e+02	8.870000e-18	7.600000e-19	7.600000e-19
2.350000e+02	9.113000e-18	7.900000e-19	7.900000e-19
2.500000e+02	9.751000e-18	8.490000e-19	8.490000e-19
2.700000e+02	1.002000e-17	8.500000e-19	8.500000e-19
3.000000e+02	1.075000e-17	9.400000e-19	9.400000e-19
3.300000e+02	1.114000e-17	8.900000e-19	8.900000e-19
3.600000e+02	1.117000e-17	9.500000e-19	9.500000e-19
4.000000e+02	1.139000e-17	9.100000e-19	9.100000e-19
4.500000e+02	1.130000e-17	9.400000e-19	9.400000e-19
5.000000e+02	1.114000e-17	8.900000e-19	8.900000e-19
5.500000e+02	1.096000e-17	8.800000e-19	8.800000e-19
6.000000e+02	1.081000e-17	8.200000e-19	8.200000e-19
6.600000e+02	1.069000e-17	8.500000e-19	8.500000e-19
7.200000e+02	1.048000e-17	8.200000e-19	8.200000e-19
8.000000e+02	1.014000e-17	7.600000e-19	7.600000e-19
9.000000e+02	9.751000e-18	7.590000e-19	7.590000e-19
1.000000e+03	9.265000e-18	7.290000e-19	7.290000e-19
1.100000e+03	9.174000e-18	7.290000e-19	7.290000e-19
1.200000e+03	8.840000e-18	6.990000e-19	6.990000e-19
1.350000e+03	8.324000e-18	6.380000e-19	6.380000e-19
1.500000e+03	7.868000e-18	5.770000e-19	5.770000e-19
1.650000e+03	7.686000e-18	5.770000e-19	5.770000e-19
1.800000e+03	7.260000e-18	5.770000e-19	5.770000e-19
2.000000e+03	6.987000e-18	5.160000e-19	5.160000e-19
2.250000e+03	6.562000e-18	4.860000e-19	4.860000e-19
2.500000e+03	6.136000e-18	4.560000e-19	4.560000e-19
2.750000e+03	5.802000e-18	3.950000e-19	3.950000e-19
3.000000e+03	5.346000e-18	3.650000e-19	3.650000e-19
3.300000e+03	5.073000e-18	3.640000e-19	3.640000e-19
3.600000e+03	4.800000e-18	3.640000e-19	3.640000e-19
4.000000e+03	4.465000e-18	3.350000e-19	3.350000e-19
4.500000e+03	4.162000e-18	3.640000e-19	3.640000e-19
5.000000e+03	3.949000e-18	3.040000e-19	3.040000e-19
