X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
1.000000e+01	2.148000e-16	0.000000e+00	0.000000e+00
1.204000e+01	3.333000e-16	0.000000e+00	0.000000e+00
1.400000e+01	4.000000e-16	0.000000e+00	0.000000e+00
1.599000e+01	4.395000e-16	0.000000e+00	0.000000e+00
1.794000e+01	4.667000e-16	0.000000e+00	0.000000e+00
1.995000e+01	4.815000e-16	0.000000e+00	0.000000e+00
2.512000e+01	5.037000e-16	0.000000e+00	0.000000e+00
2.999000e+01	5.062000e-16	0.000000e+00	0.000000e+00
4.016000e+01	5.012000e-16	0.000000e+00	0.000000e+00
5.012000e+01	4.840000e-16	0.000000e+00	0.000000e+00
7.017000e+01	4.691000e-16	0.000000e+00	0.000000e+00
1.000000e+02	4.321000e-16	0.000000e+00	0.000000e+00
1.995000e+02	3.111000e-16	0.000000e+00	0.000000e+00
5.012000e+02	1.778000e-16	0.000000e+00	0.000000e+00
1.000000e+03	1.111000e-16	0.000000e+00	0.000000e+00
